id,gender,ethnic,school,mathpr,langpr,mathnce,langnce,biling,daysabs,female
1058,male,afr amer,1,3,6,10.39049,17.25647,no bilingual,5,0
1059,female,hispanic,1,23,29,34.43988,38.34572,LEP,3,1
1060,female,hispanic,1,35,36,41.88515,42.45086,IFEP,2,1
1061,male,hispanic,1,33,60,40.73543,55.33549,LEP,1,0
1062,female,hispanic,1,27,55,37.09416,52.64643,RFEP,7,1
1063,male,hispanic,1,13,13,26.2782,26.2782,IFEP,4,0
1064,male,hispanic,1,46,26,47.88486,36.45115,LEP,8,0
1065,female,hispanic,1,30,61,38.95612,55.88246,no bilingual,6,1
1066,male,asian,1,32,45,40.15026,47.35357,no bilingual,16,0
1067,female,afr amer,1,26,32,36.45115,40.15026,no bilingual,3,1
1068,female,hispanic,1,14,31,27.24847,39.55739,IFEP,4,1
1069,female,filipino,1,31,38,39.55739,43.56657,IFEP,3,1
1070,female,hispanic,1,48,26,48.94376,36.45115,LEP,5,1
1071,male,hispanic,1,72,43,62.27464,46.28556,IFEP,0,0
1072,male,hispanic,1,79,68,66.98323,59.84974,no bilingual,9,0
1073,male,filipino,1,15,68,28.17271,59.84974,LEP,0,0
1074,male,hispanic,1,24,27,35.12527,37.09416,IFEP,8,0
1075,female,filipino,1,55,83,52.64643,70.09472,no bilingual,0,1
1076,female,afr amer,1,13,24,26.2782,35.12527,no bilingual,11,1
1077,male,hispanic,1,34,36,41.31353,42.45086,no bilingual,4,0
1078,male,hispanic,1,67,85,59.26457,71.82729,IFEP,2,0
1079,male,hispanic,1,1,6,1.007114,17.25647,LEP,35,0
1080,female,hispanic,1,21,35,33.01677,41.88515,LEP,23,1
1081,female,hispanic,1,33,36,40.73543,42.45086,LEP,13,1
1082,male,hispanic,1,78,76,66.26239,64.87473,no bilingual,6,0
1083,female,afr amer,1,84,42,70.94328,45.74812,no bilingual,0,1
1084,male,hispanic,1,59,69,54.7921,60.44261,RFEP,6,0
1085,male,hispanic,1,75,51,64.20476,50.52795,RFEP,0,0
1086,male,afr amer,1,22,32,33.73761,40.15026,no bilingual,8,0
1087,female,hispanic,1,49,40,49.47205,44.66451,no bilingual,11,1
1088,female,hispanic,1,13,87,26.2782,73.72179,RFEP,11,1
1089,male,filipino,1,84,58,70.94328,54.25188,IFEP,4,0
1090,male,hispanic,1,27,34,37.09416,41.31353,RFEP,6,0
1091,female,hispanic,1,27,49,37.09416,49.47205,no bilingual,23,1
1092,female,hispanic,1,70,82,61.04388,69.27759,IFEP,5,1
1093,male,hispanic,1,96,96,86.86945,86.86945,RFEP,5,0
1094,female,afr amer,1,70,75,61.04388,64.20476,no bilingual,26,1
1095,female,hispanic,1,10,2,23.01052,6.748048,LEP,7,1
1096,male,hispanic,1,14,24,27.24847,35.12527,LEP,1,0
1097,male,hispanic,1,20,44,32.27546,46.82059,RFEP,9,0
1098,male,hispanic,1,11,6,24.16932,17.25647,RFEP,11,0
1099,male,hispanic,1,42,50,45.74812,50,RFEP,18,0
1100,male,hispanic,1,2,4,6.748048,13.13055,LEP,12,0
1101,male,afr amer,1,24,14,35.12527,27.24847,no bilingual,3,0
1102,male,asian,1,37,15,43.01117,28.17271,LEP,0,0
1103,male,hispanic,1,13,4,26.2782,13.13055,LEP,4,0
1104,male,hispanic,1,3,16,10.39049,29.05672,LEP,10,0
1105,male,afr amer,1,70,78,61.04388,66.26239,no bilingual,16,0
1106,female,hispanic,1,27,53,37.09416,51.58518,RFEP,1,1
1107,female,afr amer,1,1,1,1.007114,1.007114,no bilingual,9,1
1108,female,asian,1,61,41,55.88246,45.2079,RFEP,3,1
1109,male,hispanic,1,44,29,46.82059,38.34572,LEP,0,0
1110,male,hispanic,1,35,63,41.88515,56.98883,RFEP,9,0
1111,male,asian,1,78,25,66.26239,35.79525,LEP,14,0
1112,female,hispanic,1,3,30,10.39049,38.95612,RFEP,7,1
1113,male,hispanic,1,21,32,33.01677,40.15026,LEP,3,0
1114,male,hispanic,1,26,8,36.45115,20.40919,LEP,10,0
1115,male,hispanic,1,44,77,46.82059,65.56011,RFEP,12,0
1116,female,hispanic,1,47,23,48.41482,34.43988,IFEP,6,1
1117,female,hispanic,1,35,35,41.88515,41.88515,RFEP,35,1
1118,female,afr amer,1,8,12,20.40919,25.25478,no bilingual,13,1
1119,female,hispanic,1,87,88,73.72179,74.74522,RFEP,3,1
1120,male,hispanic,1,3,32,10.39049,40.15026,LEP,10,0
1121,male,hispanic,1,6,8,17.25647,20.40919,LEP,6,0
1122,male,afr amer,1,89,76,75.83068,64.87473,no bilingual,0,0
1123,male,hispanic,1,13,10,26.2782,23.01052,LEP,2,0
1124,male,hispanic,1,84,94,70.94328,82.74353,RFEP,6,0
1125,male,hispanic,1,90,81,76.98948,68.48849,IFEP,5,0
1126,female,hispanic,1,71,65,61.65428,58.11485,RFEP,13,1
1127,female,afr amer,1,15,2,28.17271,6.748048,no bilingual,4,1
1128,female,hispanic,1,41,48,45.2079,48.94376,RFEP,5,1
1129,female,asian,1,63,77,56.98883,65.56011,no bilingual,3,1
1130,female,hispanic,1,34,48,41.31353,48.94376,RFEP,30,1
1131,female,hispanic,1,45,44,47.35357,46.82059,no bilingual,16,1
1132,female,hispanic,1,29,37,38.34572,43.01117,no bilingual,15,1
1133,female,hispanic,1,3,2,10.39049,6.748048,LEP,12,1
1134,male,hispanic,1,35,26,41.88515,36.45115,RFEP,1,0
1135,male,afr amer,1,32,30,40.15026,38.95612,no bilingual,1,0
1136,male,hispanic,1,22,25,33.73761,35.79525,no bilingual,7,0
1137,female,hispanic,1,81,55,68.48849,52.64643,IFEP,1,1
1138,female,asian,1,99,75,98.99289,64.20476,RFEP,45,1
1139,female,hispanic,1,73,37,62.90584,43.01117,RFEP,10,1
1140,male,asian,1,69,26,60.44261,36.45115,RFEP,3,0
1141,female,afr amer,1,27,3,37.09416,10.39049,no bilingual,27,1
1142,female,hispanic,1,13,21,26.2782,33.01677,RFEP,2,1
1143,female,hispanic,1,76,57,64.87473,53.71444,RFEP,13,1
1144,female,afr amer,1,7,16,18.91984,29.05672,no bilingual,2,1
1145,male,hispanic,1,59,46,54.7921,47.88486,RFEP,5,0
1146,female,hispanic,1,29,30,38.34572,38.95612,RFEP,5,1
1147,female,hispanic,1,57,54,53.71444,52.11514,RFEP,4,1
1148,female,hispanic,1,44,53,46.82059,51.58518,IFEP,3,1
1149,female,hispanic,1,53,85,51.58518,71.82729,IFEP,20,1
1150,female,hispanic,1,23,32,34.43988,40.15026,LEP,12,1
1151,female,afr amer,1,29,40,38.34572,44.66451,no bilingual,31,1
1152,male,asian,1,40,33,44.66451,40.73543,LEP,6,0
1153,male,hispanic,1,49,19,49.47205,31.5115,RFEP,14,0
1154,female,afr amer,1,38,44,43.56657,46.82059,no bilingual,13,1
1155,male,afr amer,1,31,49,39.55739,49.47205,no bilingual,6,0
1156,female,afr amer,1,21,45,33.01677,47.35357,no bilingual,12,1
1157,male,afr amer,1,8,16,20.40919,29.05672,no bilingual,12,0
1158,male,hispanic,1,37,23,43.01117,34.43988,LEP,0,0
1159,male,hispanic,1,53,38,51.58518,43.56657,RFEP,1,0
2001,female,white,2,31,51,39.55739,50.52795,no bilingual,4,1
2002,male,white,2,57,1,53.71444,1.007114,LEP,0,0
2003,male,filipino,2,57,30,53.71444,38.95612,no bilingual,0,0
2004,male,white,2,59,75,54.7921,64.20476,IFEP,2,0
2005,female,white,2,29,59,38.34572,54.7921,no bilingual,1,1
2006,female,asian,2,41,85,45.2079,71.82729,IFEP,2,1
2007,male,white,2,71,66,61.65428,58.68647,no bilingual,0,0
2008,female,white,2,59,50,54.7921,50,LEP,0,1
2009,male,white,2,71,59,61.65428,54.7921,no bilingual,0,0
2010,female,white,2,70,66,61.04388,58.68647,no bilingual,7,1
2011,male,white,2,77,78,65.56011,66.26239,IFEP,2,0
2012,female,asian,2,70,85,61.04388,71.82729,IFEP,9,1
2013,female,white,2,87,60,73.72179,55.33549,RFEP,6,1
2014,male,white,2,59,53,54.7921,51.58518,no bilingual,4,0
2015,male,white,2,65,65,58.11485,58.11485,no bilingual,1,0
2016,female,hispanic,2,28,44,37.72536,46.82059,RFEP,7,1
2017,male,white,2,77,83,65.56011,70.09472,IFEP,0,0
2018,male,white,2,65,81,58.11485,68.48849,IFEP,0,0
2019,female,white,2,73,85,62.90584,71.82729,no bilingual,4,1
2020,male,hispanic,2,99,60,98.99289,55.33549,no bilingual,2,0
2021,female,white,2,57,79,53.71444,66.98323,RFEP,0,1
2022,female,white,2,77,50,65.56011,50,no bilingual,4,1
2023,female,hispanic,2,57,77,53.71444,65.56011,no bilingual,2,1
2024,female,afr amer,2,47,16,48.41482,29.05672,no bilingual,18,1
2025,female,white,2,24,54,35.12527,52.11514,RFEP,1,1
2026,male,white,2,84,84,70.94328,70.94328,no bilingual,0,0
2027,female,white,2,73,77,62.90584,65.56011,RFEP,1,1
2028,male,white,2,81,66,68.48849,58.68647,no bilingual,16,0
2029,female,afr amer,2,52,34,51.05624,41.31353,no bilingual,6,1
2030,female,white,2,75,80,64.20476,67.72454,no bilingual,16,1
2031,male,asian,2,65,91,58.11485,78.2363,IFEP,0,0
2032,female,afr amer,2,44,36,46.82059,42.45086,no bilingual,8,1
2033,male,white,2,44,55,46.82059,52.64643,no bilingual,1,0
2034,female,white,2,79,96,66.98323,86.86945,no bilingual,2,1
2035,female,white,2,20,52,32.27546,51.05624,IFEP,3,1
2036,female,hispanic,2,16,16,29.05672,29.05672,LEP,4,1
2037,female,hispanic,2,99,36,98.99289,42.45086,LEP,2,1
2038,female,afr amer,2,71,95,61.65428,84.64062,no bilingual,4,1
2039,male,white,2,46,27,47.88486,37.09416,RFEP,7,0
2040,female,hispanic,2,57,63,53.71444,56.98883,IFEP,0,1
2041,female,hispanic,2,67,53,59.26457,51.58518,RFEP,1,1
2042,female,white,2,87,98,73.72179,93.25195,no bilingual,1,1
2043,female,white,2,70,53,61.04388,51.58518,no bilingual,0,1
2044,female,white,2,21,41,33.01677,45.2079,no bilingual,13,1
2045,female,white,2,31,34,39.55739,41.31353,no bilingual,1,1
2046,male,white,2,63,72,56.98883,62.27464,RFEP,0,0
2047,female,hispanic,2,44,46,46.82059,47.88486,RFEP,1,1
2048,male,white,2,34,40,41.31353,44.66451,LEP,0,0
2049,female,afr amer,2,77,85,65.56011,71.82729,no bilingual,1,1
2050,female,white,2,94,99,82.74353,98.99289,IFEP,0,1
2051,female,afr amer,2,41,39,45.2079,44.11754,no bilingual,1,1
2052,female,white,2,67,70,59.26457,61.04388,IFEP,0,1
2053,female,white,2,61,63,55.88246,56.98883,IFEP,2,1
2054,male,white,2,82,92,69.27759,79.59081,no bilingual,0,0
2055,female,afr amer,2,63,67,56.98883,59.26457,no bilingual,1,1
2056,male,white,2,63,45,56.98883,47.35357,LEP,0,0
2057,female,white,2,77,72,65.56011,62.27464,IFEP,4,1
2058,male,white,2,46,52,47.88486,51.05624,no bilingual,3,0
2059,male,white,2,8,32,20.40919,40.15026,IFEP,1,0
2060,female,hispanic,2,61,93,55.88246,81.08016,IFEP,0,1
2061,female,asian,2,71,69,61.65428,60.44261,no bilingual,1,1
2062,female,white,2,65,81,58.11485,68.48849,no bilingual,4,1
2063,female,hispanic,2,41,45,45.2079,47.35357,IFEP,1,1
2064,male,hispanic,2,16,20,29.05672,32.27546,RFEP,9,0
2065,female,white,2,22,68,33.73761,59.84974,no bilingual,0,1
2066,male,hispanic,2,57,32,53.71444,40.15026,RFEP,4,0
2067,female,asian,2,51,57,50.52795,53.71444,RFEP,8,1
2068,male,hispanic,2,74,58,63.54885,54.25188,no bilingual,13,0
2069,male,white,2,41,48,45.2079,48.94376,RFEP,0,0
2070,male,white,2,87,62,73.72179,56.43343,RFEP,0,0
2071,male,white,2,67,49,59.26457,49.47205,no bilingual,0,0
2072,female,asian,2,99,82,98.99289,69.27759,RFEP,0,1
2073,female,hispanic,2,63,88,56.98883,74.74522,IFEP,2,1
2074,female,white,2,65,65,58.11485,58.11485,no bilingual,5,1
2075,female,white,2,71,96,61.65428,86.86945,no bilingual,1,1
2076,male,white,2,77,79,65.56011,66.98323,IFEP,0,0
2077,female,afr amer,2,67,63,59.26457,56.98883,no bilingual,0,1
2078,female,hispanic,2,79,74,66.98323,63.54885,RFEP,1,1
2079,female,white,2,20,50,32.27546,50,RFEP,2,1
2080,male,afr amer,2,84,87,70.94328,73.72179,no bilingual,1,0
2081,male,asian,2,28,28,37.72536,37.72536,RFEP,5,0
2082,female,white,2,20,17,32.27546,29.90528,RFEP,3,1
2083,male,white,2,26,20,36.45115,32.27546,IFEP,1,0
2084,female,asian,2,75,85,64.20476,71.82729,no bilingual,3,1
2085,female,white,2,63,85,56.98883,71.82729,no bilingual,6,1
2086,male,white,2,39,11,44.11754,24.16932,IFEP,8,0
2087,male,asian,2,32,32,40.15026,40.15026,IFEP,21,0
2088,male,hispanic,2,15,18,28.17271,30.72241,IFEP,1,0
2089,female,white,2,55,92,52.64643,79.59081,no bilingual,7,1
2090,female,asian,2,32,40,40.15026,44.66451,no bilingual,5,1
2091,male,asian,2,34,32,41.31353,40.15026,RFEP,1,0
2092,female,white,2,67,97,59.26457,89.60951,no bilingual,1,1
2093,female,white,2,41,44,45.2079,46.82059,RFEP,0,1
2094,male,white,2,41,56,45.2079,53.17941,RFEP,4,0
2095,female,hispanic,2,29,60,38.34572,55.33549,no bilingual,0,1
2096,male,white,2,43,60,46.28556,55.33549,no bilingual,14,0
2097,female,hispanic,2,77,52,65.56011,51.05624,RFEP,2,1
2098,female,white,2,53,77,51.58518,65.56011,RFEP,2,1
2099,female,white,2,44,81,46.82059,68.48849,RFEP,2,1
2100,male,white,2,51,37,50.52795,43.01117,no bilingual,0,0
2101,male,white,2,67,60,59.26457,55.33549,IFEP,1,0
2102,male,white,2,49,37,49.47205,43.01117,no bilingual,19,0
2103,female,asian,2,37,44,43.01117,46.82059,no bilingual,2,1
2104,male,white,2,65,85,58.11485,71.82729,no bilingual,11,0
2105,male,afr amer,2,43,84,46.28556,70.94328,no bilingual,0,0
2106,female,hispanic,2,48,57,48.94376,53.71444,RFEP,5,1
2107,female,afr amer,2,99,63,98.99289,56.98883,no bilingual,13,1
2108,female,white,2,34,51,41.31353,50.52795,IFEP,0,1
2109,male,white,2,87,94,73.72179,82.74353,IFEP,5,0
2110,male,white,2,75,77,64.20476,65.56011,no bilingual,3,0
2111,female,hispanic,2,57,53,53.71444,51.58518,RFEP,2,1
2112,male,white,2,61,99,55.88246,98.99289,no bilingual,2,0
2113,male,afr amer,2,73,63,62.90584,56.98883,no bilingual,5,0
2114,female,white,2,70,85,61.04388,71.82729,IFEP,0,1
2115,female,white,2,99,99,98.99289,98.99289,no bilingual,3,1
2116,male,white,2,73,59,62.90584,54.7921,RFEP,0,0
2117,male,white,2,66,69,58.68647,60.44261,no bilingual,1,0
2118,male,hispanic,2,57,24,53.71444,35.12527,LEP,9,0
2119,male,white,2,77,39,65.56011,44.11754,no bilingual,1,0
2120,male,white,2,53,32,51.58518,40.15026,LEP,0,0
2121,male,white,2,73,72,62.90584,62.27464,no bilingual,0,0
2122,male,white,2,84,65,70.94328,58.11485,IFEP,1,0
2123,male,hispanic,2,83,47,70.09472,48.41482,no bilingual,12,0
2124,female,white,2,77,72,65.56011,62.27464,no bilingual,3,1
2125,male,white,2,44,77,46.82059,65.56011,RFEP,0,0
2126,female,white,2,79,53,66.98323,51.58518,no bilingual,1,1
2127,male,afr amer,2,53,67,51.58518,59.26457,no bilingual,5,0
2128,female,white,2,43,75,46.28556,64.20476,IFEP,1,1
2129,male,white,2,46,66,47.88486,58.68647,no bilingual,1,0
2130,female,hispanic,2,35,65,41.88515,58.11485,RFEP,7,1
2131,female,white,2,63,68,56.98883,59.84974,no bilingual,6,1
2132,female,white,2,75,93,64.20476,81.08016,RFEP,0,1
2133,female,white,2,84,66,70.94328,58.68647,RFEP,8,1
2134,male,hispanic,2,41,64,45.2079,57.54914,RFEP,0,0
2135,female,white,2,32,47,40.15026,48.41482,RFEP,1,1
2136,male,hispanic,2,12,4,25.25478,13.13055,LEP,0,0
2137,male,white,2,61,96,55.88246,86.86945,no bilingual,4,0
2138,female,asian,2,99,98,98.99289,93.25195,IFEP,17,1
2139,male,nat amer,2,67,39,59.26457,44.11754,no bilingual,6,0
2140,female,white,2,35,34,41.88515,41.31353,IFEP,0,1
2141,female,white,2,70,63,61.04388,56.98883,RFEP,0,1
2142,female,white,2,87,84,73.72179,70.94328,no bilingual,1,1
2143,male,white,2,70,46,61.04388,47.88486,RFEP,3,0
2144,male,hispanic,2,57,70,53.71444,61.04388,IFEP,1,0
2145,male,white,2,44,67,46.82059,59.26457,IFEP,2,0
2146,female,white,2,26,44,36.45115,46.82059,LEP,2,1
2147,male,white,2,63,70,56.98883,61.04388,no bilingual,2,0
2148,female,hispanic,2,8,5,20.40919,15.35938,RFEP,5,1
2149,female,hispanic,2,46,59,47.88486,54.7921,IFEP,41,1
2150,male,white,2,63,37,56.98883,43.01117,RFEP,3,0
2151,female,filipino,2,59,85,54.7921,71.82729,IFEP,7,1
2152,female,white,2,46,82,47.88486,69.27759,no bilingual,1,1
2153,male,hispanic,2,26,46,36.45115,47.88486,RFEP,1,0
2154,female,white,2,79,81,66.98323,68.48849,RFEP,3,1
2155,female,hispanic,2,59,56,54.7921,53.17941,no bilingual,0,1
2156,female,white,2,90,82,76.98948,69.27759,no bilingual,0,1
2157,female,white,2,77,84,65.56011,70.94328,no bilingual,2,1
